Date,Lead_GOOG,AMZN,CSCO,EBAY,FB,GOOG,IBM,INTC,MSFT,AAPL
2015-08-31,-0.033093,-0.330341704,0.371532661,0.301864737,-1.326339926,-1.576904678,0.905298192,1.548694127,-0.256943948,0.36314054
2015-09-01,0.027685,-0.007931405,0.344353884,1.203610241,1.012742296,-0.178324171,-0.47787886,0.924670974,-1.015562697,-1.805680262
2015-09-02,-0.013169,0.09020008,-0.695541745,-1.399021392,0.341845051,0.031677993,-1.191102356,0.070545492,1.040907937,1.710488941
2015-09-03,-0.009155,-0.71627353,0.811623739,0.564746263,-1.289289145,-0.842599724,0.968990083,1.319527224,0.341112806,-1.157837717
2015-09-04,0.023239,0.347829726,-0.100915867,-0.91239412,2.038655811,0.640542484,-0.949218407,-0.717117886,-0.878795319,0.531413577
2015-09-08,-0.003156,1.02519191,0.504537264,-2.268284504,-0.773397318,-0.074187362,0.030575622,0.804604995,0.463137714,0.287821681
2015-09-09,0.014085,0.751924253,-0.557756946,0.244780971,1.954993695,0.551763839,-0.675640895,-0.044292808,-1.083968142,-1.141803967
2015-09-10,0.007114,0.076176261,0.33666497,-1.531613567,0.952079383,0.566068169,-0.241499295,-1.146782816,-0.611377523,1.600284419
2015-09-11,-0.004043,1.120747065,-2.124158919,0.089499355,-0.722930216,0.176262304,0.302089811,0.136490055,-0.209429435,1.231429979
2015-09-14,0.019094,-0.827872321,-0.52399334,-1.495969888,1.046498096,0.33332757,-0.458876416,0.47124667,-0.297797708,1.753437337
2015-09-15,0.001322,-1.536814352,-0.070383743,-0.390370769,-0.804414093,1.266128548,0.257753742,0.039484447,1.713751764,-0.475135544
2015-09-16,0.010881,0.268859243,-0.432073036,2.509082602,-0.151973837,-0.676361507,-0.146841726,-0.673738429,0.002673766,-0.699627076
2015-09-17,-0.021232,1.661941857,-0.458524599,-1.209401504,0.768391771,0.867423743,-0.059404588,-0.073708395,-0.009049347,-1.487668939
2015-09-18,0.009837,1.445379027,-0.090183522,0.263515665,1.255534408,-0.881121346,-1.200818512,-1.075753606,-0.50680599,0.790253875
2015-09-21,-0.020065,0.839641985,-1.275974635,-1.816266679,0.43670756,0.107021158,0.640564823,-0.597762608,0.761051495,0.905016901
2015-09-22,-5.30E-04,-0.361640437,0.061066921,0.67353762,-1.832264977,-0.667379457,0.336860723,-0.127869205,1.864563165,0.053125647
2015-09-23,0.005527,-1.093968548,0.700959622,-0.450681672,1.661446597,-0.405160102,-1.275873464,0.133844295,-0.43290831,1.162341583
2015-09-24,-0.0221,-1.142056354,0.667492884,-0.165625878,0.579595033,0.741059563,0.682588384,-2.043773656,-0.140785181,0.821505205
2015-09-25,-0.02791,-0.953488477,1.757921084,-0.510258678,-0.925859239,-1.231136507,0.647006196,0.94350408,0.239604031,0.03270751
2015-09-28,1.34E-04,-0.957613598,0.736847634,-1.543585652,-0.948064218,-0.223972156,0.327400699,1.587295975,0.683703262,0.337988054
2015-09-29,0.022606,-0.613598693,0.366206078,0.255301955,-1.434068174,0.425558636,0.394029621,1.501835693,0.642101211,-1.537366328
