Date,SPY_lead,SPY,JNJ,^IXIC
9/29/1994,-0.001353163,-0.005056821,-0.01215034,-0.000881934
9/30/1994,-0.002370217,-0.001353163,0.01215034,0.006497599
10/3/1994,-0.015037117,-0.002370217,-0.007272474,-0.004471605
10/4/1994,0.000343045,-0.015037117,-0.024631615,-0.01800897
10/5/1994,-0.00310209,0.000343045,0.004975073,-0.001365791
10/6/1994,0.004478191,-0.00310209,0.002478218,-0.002804523
10/7/1994,0.010600691,0.004478191,0.007398283,0.00772352
10/10/1994,0.014855406,0.010600691,-0.002460062,0.009092327
10/11/1994,0.001339301,0.014855406,0.026733323,0.011508435
10/12/1994,0.003339969,0.001339301,0.00716782,0.001866138
10/13/1994,0.004326781,0.003339969,0.004751188,0.001159712
